,location,total_sqft,bath,price,bhk
1976,Doddakallasandra,1010.0,2.0,41.0,2
1977,Doddakallasandra,1072.0,2.0,42.87,2
1978,Doddathoguru,970.0,2.0,33.0,2
1979,Doddathoguru,1050.0,2.0,32.0,2
1980,Doddathoguru,850.0,2.0,25.0,2
1981,Doddathoguru,1030.0,2.0,42.0,2
1982,Doddathoguru,1549.0,3.0,65.0,3
1984,Doddathoguru,550.0,1.0,17.0,1
1985,Doddathoguru,1015.0,2.0,33.5,2
1986,Doddathoguru,1104.0,2.0,39.0,2
1987,Doddathoguru,915.0,2.0,32.0,2
1988,Doddathoguru,750.0,1.0,25.5,1
1989,Doddathoguru,1595.0,3.0,62.0,3
1990,Doddathoguru,855.0,2.0,32.0,2
1991,Doddathoguru,1105.0,2.0,50.0,2
1992,Doddathoguru,925.0,2.0,30.0,2
1994,Doddathoguru,1208.0,3.0,45.0,3
1995,Doddathoguru,1100.0,2.0,50.0,2
1996,Doddathoguru,940.0,2.0,32.9,2
1997,Doddathoguru,1382.0,3.0,65.0,3
1998,Doddathoguru,1107.0,2.0,44.0,2
1999,Doddathoguru,907.0,2.0,40.0,2
2000,Doddathoguru,1783.0,3.0,85.0,3
2001,Doddathoguru,550.0,1.0,17.0,1
2002,Domlur,1540.0,3.0,90.0,3
2003,Domlur,1875.0,2.0,150.0,3
2004,Domlur,1429.0,3.0,86.0,3
2005,Domlur,640.0,1.0,55.0,1
2006,Domlur,1050.0,2.0,85.0,2
2007,Domlur,1800.0,3.0,150.0,3
2008,Domlur,1720.0,3.0,135.0,3
2009,Domlur,1950.0,3.0,165.0,3
2010,Domlur,2180.0,3.0,285.0,3
2011,Domlur,650.0,1.0,70.0,1
2012,Domlur,780.0,1.0,70.0,1
2013,Domlur,2180.0,3.0,285.0,3
2014,Domlur,1740.0,3.0,120.0,3
2015,Domlur,1695.0,3.0,125.0,3
2016,Domlur,1246.0,2.0,95.0,2
2017,Domlur,2100.0,3.0,145.0,3
2018,Domlur,1276.0,2.0,80.0,2
2019,Domlur,1850.0,3.0,180.0,3
2020,Domlur,2955.0,3.0,235.0,3
2021,Domlur,1650.0,3.0,180.0,3
2022,Dommasandra,805.0,2.0,22.14,2
2024,Dommasandra,1267.0,3.0,56.0,3
2025,Dommasandra,1200.0,2.0,50.0,2
2026,Dommasandra,2700.0,3.0,68.0,4
2028,Dommasandra,1153.0,2.0,43.5,2
2029,Dommasandra,1500.0,2.0,40.0,2
2030,Dommasandra,1090.0,2.0,43.5,2
2031,Dommasandra,850.0,2.0,25.4,2
2032,Dommasandra,674.0,1.0,19.9,2
2033,Dommasandra,999.0,2.0,32.9,2
2034,EPIP Zone,1499.0,5.0,102.0,3
2035,EPIP Zone,1285.0,2.0,82.0,2
2036,EPIP Zone,2330.0,3.0,162.0,3
2037,EPIP Zone,1330.0,2.0,92.5,2
2038,EPIP Zone,1330.0,2.0,86.98,2
2039,EPIP Zone,1330.0,2.0,93.36,2
2041,EPIP Zone,1500.0,3.0,102.0,3
2042,EPIP Zone,1280.0,2.0,69.0,2
2043,EPIP Zone,1125.0,2.0,65.0,2
2044,EPIP Zone,1734.0,3.0,125.0,3
2046,EPIP Zone,1343.0,2.0,86.0,2
2047,EPIP Zone,2350.0,4.0,163.0,3
2048,EPIP Zone,1860.0,3.0,130.0,3
2049,EPIP Zone,2210.0,3.0,165.0,3
2050,EPIP Zone,2710.0,3.0,177.0,3
2053,Electronic City,1025.0,2.0,47.0,3
2056,Electronic City,1500.0,2.0,64.5,3
2057,Electronic City,1060.0,2.0,60.0,2
2058,Electronic City,1152.0,2.0,64.5,2
2060,Electronic City,770.0,1.0,36.0,2
2061,Electronic City,1070.0,2.0,52.0,2
2062,Electronic City,1025.0,2.0,46.0,2
2063,Electronic City,589.0,1.0,27.0,1
2065,Electronic City,910.0,2.0,40.0,2
2066,Electronic City,1108.0,2.0,63.0,2
2067,Electronic City,1128.0,2.0,65.0,2
2068,Electronic City,1800.0,3.0,95.0,3
2069,Electronic City,630.0,1.0,34.65,1
2070,Electronic City,1128.0,2.0,63.0,2
2071,Electronic City,1599.0,3.0,99.0,3
2074,Electronic City,1070.0,2.0,55.0,2
2075,Electronic City,940.0,2.0,41.0,2
2077,Electronic City,1128.0,2.0,68.75,2
2078,Electronic City,1342.0,2.0,73.3,2
2079,Electronic City,1360.0,2.0,71.0,3
2081,Electronic City,1265.0,2.0,56.93,2
2082,Electronic City,1691.0,2.0,102.0,3
2083,Electronic City,1128.0,2.0,65.49,2
2087,Electronic City,1070.0,2.0,56.1,2
2088,Electronic City,2000.0,4.0,120.0,4
2089,Electronic City,890.0,2.0,45.0,2
2090,Electronic City,1128.0,2.0,65.65,2
2091,Electronic City,865.0,2.0,42.0,2
2093,Electronic City,910.0,2.0,42.0,2
2095,Electronic City,1360.0,2.0,75.0,3
2096,Electronic City,770.0,1.0,40.0,2
2097,Electronic City,1128.0,2.0,64.0,2
2098,Electronic City,1070.0,2.0,54.0,2
2101,Electronic City,1571.0,3.0,89.0,3
2102,Electronic City,1111.0,3.0,50.0,3
2103,Electronic City,870.0,2.0,39.5,2
2105,Electronic City,1374.0,2.0,72.0,3
2107,Electronic City,1128.0,2.0,65.35,2
2108,Electronic City,1128.0,2.0,65.0,2
2109,Electronic City,755.0,1.0,34.0,2
2113,Electronic City,1563.0,3.0,91.84,3
2114,Electronic City,1652.0,3.0,70.0,3
2116,Electronic City,1025.0,2.0,54.5,2
2118,Electronic City,1350.0,3.0,58.0,3
2121,Electronic City,1700.0,3.0,75.0,3
2123,Electronic City,1128.0,2.0,68.0,2
2124,Electronic City,700.0,1.0,35.0,1
2125,Electronic City,1360.0,2.0,70.5,3
2127,Electronic City,1571.0,3.0,105.0,3
2131,Electronic City,1600.0,3.0,104.0,3
2134,Electronic City,1500.0,2.0,100.0,3
2138,Electronic City,1152.0,2.0,65.0,2
2139,Electronic City,1070.0,2.0,60.0,2
2140,Electronic City,1128.0,2.0,65.5,2
2141,Electronic City,1200.0,2.0,59.0,2
2142,Electronic City,1152.0,2.0,65.75,2
2144,Electronic City,1070.0,2.0,55.0,2
2145,Electronic City,1060.0,2.0,58.0,2
2146,Electronic City,1025.0,2.0,54.1,2
2151,Electronic City,1500.0,2.0,78.0,3
2152,Electronic City,1213.0,2.0,59.32,2
2153,Electronic City,1575.0,3.0,90.0,3
2154,Electronic City,435.0,1.0,19.5,1
2155,Electronic City,1449.0,3.0,100.0,3
2157,Electronic City,1125.0,2.0,58.0,2
2159,Electronic City,1575.0,3.0,101.0,3
2161,Electronic City,550.0,1.0,12.0,1
2162,Electronic City,919.0,2.0,40.0,2
2163,Electronic City,1500.0,2.0,78.25,3
2164,Electronic City,1363.0,2.0,79.0,2
2167,Electronic City,1108.0,2.0,67.15,2
2169,Electronic City,1128.0,2.0,65.7,2
2171,Electronic City,1060.0,2.0,51.0,2
2173,Electronic City,1650.0,3.0,100.0,3
2175,Electronic City,1025.0,2.0,49.0,2
2177,Electronic City,1449.0,3.0,90.0,3
2179,Electronic City,1070.0,2.0,58.0,2
2180,Electronic City,1210.0,2.0,54.0,2
2181,Electronic City,1500.0,2.0,75.0,3
2183,Electronic City,1070.0,2.0,52.0,2
2184,Electronic City,2435.0,4.0,119.0,4
2189,Electronic City,1073.0,2.0,60.0,2
2190,Electronic City,1500.0,2.0,78.0,3
2191,Electronic City,1070.0,2.0,47.0,2
2193,Electronic City,1296.0,2.0,65.0,2
2194,Electronic City,1140.0,2.0,70.93,2
2200,Electronic City,2093.0,4.0,104.0,4
2201,Electronic City,1025.0,2.0,53.9,2
2202,Electronic City,940.0,2.0,54.0,2
2203,Electronic City,435.0,1.0,21.0,1
2204,Electronic City,1500.0,2.0,77.5,3
2205,Electronic City,1631.0,3.0,80.0,3
2206,Electronic City,1355.0,2.0,67.0,2
2209,Electronic City,435.0,1.0,22.0,1
2210,Electronic City,1500.0,2.0,63.0,3
2211,Electronic City,1039.0,2.0,50.0,2
2212,Electronic City,770.0,1.0,39.9,2
2215,Electronic City,1128.0,2.0,64.0,2
2216,Electronic City,605.0,1.0,13.31,1
2218,Electronic City,530.0,1.0,13.5,1
2219,Electronic City,1070.0,2.0,53.0,2
2222,Electronic City,1571.0,3.0,83.0,3
2224,Electronic City,1350.0,3.0,66.0,3
2225,Electronic City,1652.0,3.0,110.0,3
2229,Electronic City,1128.0,2.0,65.58,2
2230,Electronic City,635.0,1.0,28.0,1
2231,Electronic City,1128.0,2.0,65.4,2
2234,Electronic City,1355.0,2.0,72.9,2
2238,Electronic City,1609.0,3.0,115.0,3
2239,Electronic City,770.0,1.0,35.0,2
2241,Electronic City,865.0,2.0,40.0,2
2244,Electronic City,1108.0,2.0,63.0,2
2245,Electronic City,630.0,1.0,40.5,1
2248,Electronic City,605.0,1.0,22.0,1
2250,Electronic City,1070.0,2.0,48.0,2
2252,Electronic City,1360.0,2.0,70.0,3
2253,Electronic City,635.0,1.0,28.0,1
2254,Electronic City,1128.0,2.0,65.45,2
2255,Electronic City,890.0,2.0,40.0,2
2260,Electronic City,1360.0,2.0,58.0,3
2263,Electronic City,630.0,1.0,33.7,1
2267,Electronic City,1400.0,3.0,90.0,3
2268,Electronic City,1287.0,3.0,55.0,3
2269,Electronic City,1258.0,2.0,85.5,2
2270,Electronic City,1386.0,2.0,85.0,2
2271,Electronic City,550.0,1.0,27.0,1
2272,Electronic City,1025.0,2.0,50.0,2
2274,Electronic City,1070.0,2.0,55.0,2
2275,Electronic City,1342.0,2.0,72.0,2
2276,Electronic City,1275.0,3.0,70.0,3
2277,Electronic City,770.0,1.0,38.0,2
2282,Electronic City,1644.0,3.0,92.59,3
2283,Electronic City,1250.0,2.0,62.0,2
2286,Electronic City,418.0,1.0,12.0,1
2287,Electronic City,1128.0,2.0,64.8,2
2290,Electronic City,1060.0,2.0,55.0,2
2291,Electronic City,710.0,1.0,40.42,1
2294,Electronic City,1275.0,3.0,63.43,3
2295,Electronic City,1518.0,3.0,75.0,3
2296,Electronic City,1090.0,2.0,31.48,1
2299,Electronic City,1060.0,2.0,55.0,2
2301,Electronic City,1353.0,2.0,75.0,2
2303,Electronic City,1128.0,2.0,67.0,2
2304,Electronic City,1070.0,2.0,57.0,2
2305,Electronic City,1700.0,3.0,90.0,3
2307,Electronic City,750.0,1.0,35.0,1
2308,Electronic City,1210.0,2.0,55.0,2
2309,Electronic City,1070.0,2.0,60.0,2
2315,Electronic City,1615.0,3.0,97.0,3
2317,Electronic City,1221.0,2.0,68.0,2
2319,Electronic City,1500.0,3.0,73.0,3
2320,Electronic City,995.0,2.0,48.0,2
2321,Electronic City,1342.0,2.0,90.0,2
2324,Electronic City,1128.0,2.0,63.5,2
2325,Electronic City,589.0,1.0,29.0,1
2328,Electronic City,1575.0,3.0,94.5,3
2329,Electronic City,1070.0,2.0,48.0,2
2330,Electronic City,1025.0,2.0,54.0,2
2331,Electronic City,1500.0,2.0,70.0,3
2332,Electronic City,1500.0,2.0,64.5,3
2334,Electronic City,2093.0,4.0,134.0,4
2336,Electronic City,1355.0,2.0,73.0,2
2337,Electronic City,1360.0,2.0,64.99,3
2338,Electronic City,1060.0,2.0,52.0,2
2339,Electronic City Phase II,1056.0,2.0,39.07,2
2340,Electronic City Phase II,1020.0,2.0,30.6,2
2341,Electronic City Phase II,1069.0,2.0,45.0,2
2342,Electronic City Phase II,630.0,1.0,28.35,1
2344,Electronic City Phase II,1000.0,2.0,25.0,2
2345,Electronic City Phase II,1090.0,2.0,28.34,2
2346,Electronic City Phase II,2225.0,4.0,98.88,4
2348,Electronic City Phase II,775.0,2.0,38.0,2
2349,Electronic City Phase II,1266.0,2.0,59.0,2
2350,Electronic City Phase II,1000.0,2.0,28.88,2
2353,Electronic City Phase II,972.0,2.0,44.0,2
2355,Electronic City Phase II,1031.0,2.0,55.0,2
2356,Electronic City Phase II,1003.0,2.0,40.6,2
2357,Electronic City Phase II,545.0,1.0,27.0,2
2358,Electronic City Phase II,1031.0,2.0,56.35,2
2360,Electronic City Phase II,1395.0,2.0,62.78,3
2361,Electronic City Phase II,1160.0,2.0,33.5,2
2362,Electronic City Phase II,1065.0,2.0,30.75,2
2363,Electronic City Phase II,1219.0,2.0,61.25,2
2365,Electronic City Phase II,1000.0,2.0,28.88,2
2366,Electronic City Phase II,1790.0,3.0,100.0,3
2367,Electronic City Phase II,769.0,2.0,40.0,2
2369,Electronic City Phase II,900.0,2.0,32.5,2
2372,Electronic City Phase II,993.0,2.0,50.0,3
2373,Electronic City Phase II,1418.0,3.0,52.47,3
2374,Electronic City Phase II,1070.0,2.0,45.0,2
2377,Electronic City Phase II,1140.0,2.0,33.06,2
2378,Electronic City Phase II,1089.0,2.0,32.67,2
2379,Electronic City Phase II,1031.0,2.0,55.0,2
2380,Electronic City Phase II,1253.0,2.0,65.8,2
2382,Electronic City Phase II,1160.0,2.0,33.5,2
2383,Electronic City Phase II,975.0,2.0,45.0,3
2384,Electronic City Phase II,6000.0,4.0,260.0,4
2385,Electronic City Phase II,1116.0,2.0,37.0,2
2386,Electronic City Phase II,1125.0,2.0,29.25,2
2387,Electronic City Phase II,1000.0,2.0,28.88,2
2388,Electronic City Phase II,1000.0,2.0,28.88,2
2389,Electronic City Phase II,1000.0,2.0,28.88,2
2390,Electronic City Phase II,1165.0,2.0,30.29,2
2391,Electronic City Phase II,3550.0,2.0,167.5,4
2392,Electronic City Phase II,1031.0,2.0,53.0,2
2394,Electronic City Phase II,1065.0,2.0,30.88,2
2396,Electronic City Phase II,1549.0,3.0,80.0,3
2397,Electronic City Phase II,1065.0,2.0,56.13,2
2399,Electronic City Phase II,920.0,2.0,26.0,2
2400,Electronic City Phase II,1140.0,2.0,33.84,2
2401,Electronic City Phase II,1219.0,2.0,61.26,2
2402,Electronic City Phase II,1252.0,2.0,65.0,3
2403,Electronic City Phase II,875.0,2.0,40.0,3
2404,Electronic City Phase II,1125.0,2.0,32.49,2
2406,Electronic City Phase II,1286.0,2.0,69.0,2
2408,Electronic City Phase II,1140.0,2.0,32.92,2
2409,Electronic City Phase II,1116.0,2.0,40.0,2
2410,Electronic City Phase II,1150.0,3.0,46.0,3
2411,Electronic City Phase II,1192.0,2.0,47.0,3
2413,Electronic City Phase II,1020.0,2.0,32.0,2
2414,Electronic City Phase II,1900.0,3.0,97.0,4
2415,Electronic City Phase II,1020.0,2.0,27.43,2
2416,Electronic City Phase II,1025.0,2.0,26.65,2
2417,Electronic City Phase II,545.0,1.0,29.0,2
2418,Electronic City Phase II,1020.0,2.0,29.45,2
2419,Electronic City Phase II,1000.0,2.0,28.88,2
2421,Electronic City Phase II,1140.0,2.0,28.5,2
2422,Electronic City Phase II,1125.0,2.0,32.49,2
2423,Electronic City Phase II,1200.0,2.0,34.65,2
2424,Electronic City Phase II,1160.0,2.0,52.2,2
2425,Electronic City Phase II,1244.0,2.0,55.0,2
2426,Electronic City Phase II,1160.0,2.0,33.51,2
2429,Electronic City Phase II,972.0,2.0,40.0,2
2430,Electronic City Phase II,1160.0,2.0,33.51,2
2432,Electronic City Phase II,1090.0,2.0,31.48,2
2433,Electronic City Phase II,1140.0,2.0,32.92,2
2434,Electronic City Phase II,650.0,1.0,35.0,1
2435,Electronic City Phase II,1155.0,2.0,57.0,2
2436,Electronic City Phase II,1800.0,3.0,92.0,3
2437,Electronic City Phase II,1300.0,2.0,28.0,2
2438,Electronic City Phase II,1940.0,4.0,116.0,3
2439,Electronic City Phase II,1160.0,2.0,33.5,2
2440,Electronic City Phase II,1025.0,2.0,29.6,2
2441,Electronic City Phase II,829.0,2.0,22.8,2
2442,Electronic City Phase II,2187.5,4.0,105.0,4
2443,Electronic City Phase II,1252.0,2.0,67.0,2
2445,Electronic City Phase II,1125.0,2.0,32.63,2
2446,Electronic City Phase II,1140.0,2.0,34.0,2
2449,Electronic City Phase II,1252.0,2.0,65.0,3
2450,Electronic City Phase II,1135.0,2.0,46.0,2
2451,Electronic City Phase II,1305.0,3.0,65.0,3
2452,Electronic City Phase II,1165.0,2.0,33.64,2
2454,Electronic City Phase II,1336.0,2.0,50.35,3
2455,Electronic City Phase II,575.0,1.0,16.75,1
2456,Electronic City Phase II,925.0,2.0,49.82,3
2457,Electronic City Phase II,1065.0,2.0,30.76,2
2458,Electronic City Phase II,1065.0,2.0,30.75,2
2459,Electronic City Phase II,1140.0,2.0,33.06,2
2460,Electronic City Phase II,911.0,2.0,26.5,2
2461,Electronic City Phase II,1200.0,2.0,34.65,2
2462,Electronic City Phase II,1031.0,2.0,54.48,2
2463,Electronic City Phase II,545.0,1.0,28.0,2
2467,Electronics City Phase 1,1475.0,3.0,78.29,3
2468,Electronics City Phase 1,1490.0,3.0,78.8,3
2469,Electronics City Phase 1,1113.27,2.0,53.0,2
2470,Electronics City Phase 1,1490.0,3.0,84.0,3
2472,Electronics City Phase 1,1160.0,2.0,52.0,2
2477,Electronics City Phase 1,1015.0,2.0,56.0,2
2479,Electronics City Phase 1,1515.0,2.0,80.91,3
2480,Electronics City Phase 1,995.0,2.0,46.0,2
2481,Electronics City Phase 1,1555.0,2.0,82.0,3
2482,Electronics City Phase 1,1340.0,2.0,75.0,2
2483,Electronics City Phase 1,650.0,1.0,23.0,1
2484,Electronics City Phase 1,1124.0,2.0,55.0,3
2485,Electronics City Phase 1,1175.0,2.0,57.0,2
2486,Electronics City Phase 1,755.0,1.0,42.41,1
2487,Electronics City Phase 1,580.0,1.0,27.0,1
2488,Electronics City Phase 1,940.0,2.0,49.0,2
2489,Electronics City Phase 1,1335.0,2.0,67.0,2
2490,Electronics City Phase 1,1175.0,2.0,69.0,2
2491,Electronics City Phase 1,1113.12,2.0,55.0,2
2493,Electronics City Phase 1,1350.0,3.0,71.0,3
2495,Electronics City Phase 1,995.0,2.0,49.8,2
2496,Electronics City Phase 1,635.0,1.0,26.0,1
2497,Electronics City Phase 1,1190.0,2.0,68.0,2
2499,Electronics City Phase 1,1450.0,3.0,72.54,3
2500,Electronics City Phase 1,360.0,1.0,16.9,1
2501,Electronics City Phase 1,638.0,1.0,32.0,1
2502,Electronics City Phase 1,1175.0,2.0,64.98,2
2503,Electronics City Phase 1,585.0,1.0,21.0,1
2504,Electronics City Phase 1,1200.0,2.0,59.76,2
2505,Electronics City Phase 1,1145.0,2.0,54.0,2
2506,Electronics City Phase 1,1125.0,2.0,65.0,2
2508,Electronics City Phase 1,1550.0,2.0,82.0,3
2510,Electronics City Phase 1,865.0,2.0,40.0,2
2514,Electronics City Phase 1,1800.0,3.0,93.0,3
2515,Electronics City Phase 1,1314.0,2.0,60.0,2
2516,Electronics City Phase 1,1170.0,2.0,62.0,2
2517,Electronics City Phase 1,1450.0,3.0,79.0,3
2518,Electronics City Phase 1,940.0,2.0,48.0,2
2519,Electronics City Phase 1,940.0,2.0,44.0,2
2520,Electronics City Phase 1,1300.0,2.0,67.0,2
2521,Electronics City Phase 1,1028.0,2.0,51.0,2
2523,Electronics City Phase 1,1205.0,2.0,60.0,2
2525,Electronics City Phase 1,1305.0,2.0,67.0,2
2526,Electronics City Phase 1,755.0,1.0,30.12,1
2527,Electronics City Phase 1,1175.0,2.0,60.0,2
2528,Frazer Town,1700.0,3.0,180.0,3
2529,Frazer Town,1305.0,3.0,95.45,3
2530,Frazer Town,1870.0,3.0,185.0,3
2531,Frazer Town,1750.0,3.0,150.0,3
2533,Frazer Town,2000.0,3.0,200.0,3
2534,Frazer Town,3500.0,4.0,330.0,3
2535,Frazer Town,2350.0,4.0,285.0,3
2536,Frazer Town,1550.0,2.0,140.0,2
2537,Frazer Town,1900.0,4.0,145.0,3
2538,Frazer Town,2560.0,3.0,265.0,3
2539,Frazer Town,2400.0,3.0,260.0,3
2540,Frazer Town,2560.0,3.0,288.0,3
2541,Frazer Town,3436.0,5.0,341.0,4
2543,Frazer Town,1315.0,2.0,140.0,2
2544,Frazer Town,1706.0,3.0,154.0,3
2545,Frazer Town,2079.0,3.0,220.0,3
2546,Frazer Town,3435.0,2.0,341.0,4
2547,Frazer Town,3436.0,5.0,345.0,4
2548,Frazer Town,3100.0,3.0,400.0,3
2549,Frazer Town,5400.0,3.0,400.0,3
2550,Frazer Town,1180.0,2.0,105.0,2
2551,Frazer Town,2900.0,4.0,325.0,4
2552,Frazer Town,1870.0,3.0,180.0,3
2553,Frazer Town,896.0,1.0,100.0,1
2554,Frazer Town,1420.0,2.0,120.0,2
2555,GM Palaya,1820.0,2.0,86.0,3
2556,GM Palaya,1225.0,2.0,47.0,2
2557,GM Palaya,1140.0,2.0,48.95,2
2558,GM Palaya,1315.0,2.0,65.0,3
2559,GM Palaya,1315.0,3.0,65.0,3
2560,GM Palaya,1315.0,3.0,64.0,3
2561,GM Palaya,1735.0,3.0,70.0,3
2562,GM Palaya,1643.0,2.0,70.0,3
2563,Garudachar Palya,1325.0,2.0,60.8,3
2564,Garudachar Palya,1060.0,2.0,48.7,2
2565,Garudachar Palya,1150.0,2.0,52.75,2
2566,Garudachar Palya,1295.0,2.0,59.5,3
2567,Garudachar Palya,1320.0,2.0,60.6,3
2568,Garudachar Palya,1295.0,2.0,59.5,3
2569,Garudachar Palya,1150.0,2.0,52.8,2
2570,Garudachar Palya,1150.0,2.0,52.8,2
2571,Garudachar Palya,1060.0,2.0,48.5,2
2572,Garudachar Palya,1150.0,2.0,52.5,2
2573,Garudachar Palya,1325.0,2.0,60.8,3
2574,Garudachar Palya,1060.0,2.0,48.66,2
2575,Garudachar Palya,1150.0,2.0,52.0,2
2576,Garudachar Palya,1154.0,2.0,51.8,2
2578,Giri Nagar,880.0,3.0,140.0,3
2579,Giri Nagar,2400.0,4.0,400.0,4
2580,Giri Nagar,1800.0,3.0,252.0,3
2581,Giri Nagar,1350.0,3.0,240.0,3
2582,Giri Nagar,2400.0,4.0,400.0,4
2583,Giri Nagar,3000.0,4.0,375.0,6
2584,Giri Nagar,2400.0,6.0,400.0,6
2585,Giri Nagar,600.0,6.0,100.0,6
2586,Giri Nagar,1120.0,4.0,175.0,4
2587,Giri Nagar,4000.0,3.0,750.0,4
2588,Giri Nagar,1200.0,3.0,175.0,6
2589,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2590,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
2591,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2592,Gollarapalya Hosahalli,1318.0,3.0,54.0,3
2593,Gollarapalya Hosahalli,861.0,2.0,36.5,2
2594,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
2595,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
2596,Gollarapalya Hosahalli,1905.0,3.0,86.0,4
2597,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
2598,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
2599,Gottigere,1100.0,2.0,40.0,2
2600,Gottigere,967.0,2.0,45.0,2
2601,Gottigere,1618.0,3.0,82.5,3
2602,Gottigere,1222.0,2.0,63.0,2
2604,Gottigere,1300.0,3.0,65.0,3
2605,Gottigere,950.0,2.0,38.0,2
2606,Gottigere,1153.0,2.0,48.5,2
2607,Gottigere,812.0,1.0,26.0,1
2609,Gottigere,1460.0,2.0,65.0,3
2610,Gottigere,1500.0,3.0,70.0,3
2611,Gottigere,1621.0,3.0,72.0,3
2612,Gottigere,812.0,1.0,26.0,1
2613,Gottigere,990.0,2.0,40.0,2
2614,Gottigere,1235.0,2.0,63.0,2
2615,Gottigere,1385.0,3.0,64.0,3
2616,Gottigere,1000.0,2.0,35.0,2
2617,Gottigere,1010.0,2.0,35.0,2
2620,Gottigere,1435.0,2.0,62.0,3
2621,Gottigere,945.0,2.0,45.0,2
2623,Gottigere,2500.0,3.0,120.0,4
2624,Gottigere,1230.0,2.0,52.0,3
2625,Gottigere,1120.0,2.0,50.0,2
2626,Gottigere,1500.0,3.0,63.0,3
2627,Gottigere,1200.0,2.0,40.0,2
2628,Gottigere,1280.0,2.0,61.0,2
2629,Gottigere,1205.0,2.0,56.58,2
2630,Gottigere,1170.0,2.0,40.0,2
2631,Gottigere,3000.0,3.0,132.0,4
2632,Gottigere,1613.0,3.0,72.0,3
2633,Gottigere,1110.0,2.0,36.25,2
2634,Gottigere,1245.0,2.0,59.0,2
2635,Gottigere,1200.0,2.0,50.0,2
2636,Green Glen Layout,1670.0,3.0,120.0,3
2637,Green Glen Layout,3250.0,4.0,230.0,4
2638,Green Glen Layout,1776.42,3.0,105.0,3
2639,Green Glen Layout,3250.0,4.0,230.0,4
2640,Green Glen Layout,940.0,2.0,56.8,2
2641,Green Glen Layout,1075.0,2.0,60.0,2
2642,Green Glen Layout,1715.0,3.0,115.0,3
2643,Green Glen Layout,1751.0,2.0,115.0,3
2644,Green Glen Layout,1750.0,3.0,130.0,3
2645,Green Glen Layout,1530.0,3.0,105.0,3
2646,Green Glen Layout,1752.0,3.0,105.0,3
2647,Green Glen Layout,1680.0,4.0,95.0,3
2648,Green Glen Layout,1728.0,3.0,125.0,3
2649,Green Glen Layout,1645.0,3.0,110.0,3
2650,Green Glen Layout,1517.0,3.0,100.0,3
2651,Green Glen Layout,3150.0,4.0,218.0,4
2653,Green Glen Layout,1750.0,3.0,120.0,3
2654,Green Glen Layout,1751.0,3.0,115.0,3
2655,Green Glen Layout,1750.0,3.0,105.0,3
2656,Green Glen Layout,1885.0,3.0,135.0,3
2657,Green Glen Layout,1715.0,3.0,120.0,3
2658,Green Glen Layout,1623.29,2.0,105.0,3
2659,Green Glen Layout,1715.0,3.0,115.0,3
2660,Green Glen Layout,1715.0,3.0,105.0,3
2661,Green Glen Layout,1600.0,3.0,105.0,3
2662,Green Glen Layout,1717.0,3.0,125.0,3
2663,Green Glen Layout,1250.0,2.0,75.0,2
2664,Green Glen Layout,1715.0,3.0,112.0,3
2665,Gubbalala,1470.0,2.0,82.0,3
2666,Gubbalala,1745.0,3.0,125.0,3
2667,Gubbalala,1745.0,3.0,104.0,3
2668,Gubbalala,1745.0,3.0,115.0,3
2669,Gubbalala,1745.0,3.0,110.0,3
2670,Gubbalala,1650.0,3.0,71.0,3
2671,Gubbalala,2570.0,4.0,141.0,5
2672,Gubbalala,1205.0,2.0,70.0,2
2673,Gubbalala,1435.0,2.0,80.0,3
2674,Gubbalala,1475.0,2.0,80.0,2
2676,Gubbalala,1100.0,2.0,49.5,2
2677,Gubbalala,1060.0,2.0,46.0,2
2678,Gubbalala,2000.0,3.0,125.0,3
2680,Gubbalala,1745.0,3.0,130.0,3
2681,Gubbalala,1285.0,2.0,90.0,2
2682,Gunjur,1140.0,2.0,43.0,2
2683,Gunjur,1356.0,2.0,66.0,3
2684,Gunjur,1600.0,3.0,75.0,3
2685,Gunjur,2000.0,3.0,95.0,4
2686,Gunjur,1140.0,2.0,49.11,2
2687,Gunjur,1195.0,2.0,44.0,2
2688,Gunjur,1190.0,2.0,40.0,2
2689,Gunjur,1457.0,2.0,60.0,2
2690,Gunjur,1080.0,2.0,41.0,2
2693,Gunjur,1175.0,2.0,43.48,2
2694,Gunjur,1362.0,3.0,62.63,3
2695,Gunjur,1071.0,2.0,51.0,2
2696,Gunjur,1063.0,2.0,40.0,2
2697,Gunjur,1235.0,2.0,52.76,2
2698,Gunjur,1362.0,3.0,62.63,3
2699,Gunjur,1362.0,3.0,62.63,3
2700,Gunjur,1588.0,2.0,90.0,3
2701,Gunjur,1235.0,2.0,44.5,2
2702,Gunjur,1457.0,2.0,60.0,2
2703,HAL 2nd Stage,1490.0,2.0,300.0,3
2704,HAL 2nd Stage,600.0,3.0,145.0,2
2705,HAL 2nd Stage,2700.0,3.0,500.0,3
2706,HAL 2nd Stage,1000.0,7.0,250.0,7
2707,HAL 2nd Stage,2280.0,4.0,615.0,4
2708,HAL 2nd Stage,1000.0,7.0,260.0,8
2709,HAL 2nd Stage,2040.0,4.0,500.0,5
